n_clusters,samples,time,entropy,iterations
8,1000,0.740672,4.07902,5
8,1000,0.809398,4.065980000000001,10
8,1000,0.773354,4.046564,13
8,2500,1.7146580000000002,4.112082,0
8,2500,1.601745,4.070371,1
8,2500,1.632935,4.0609459999999995,5
8,2500,1.706284,4.027121,10
8,2500,1.668075,4.045376,17
8,5000,3.0023419999999996,4.122259,0
8,5000,3.027676,4.058649,1
8,5000,3.050341,4.024751,5
8,5000,3.2474689999999997,4.027444,10
8,5000,3.174593,4.053640000000001,21
9,500,0.510318,4.130091,0
9,500,0.484246,4.0808860000000005,1
9,500,0.471183,4.045512,5
9,500,0.485529,4.05732,9
9,500,0.528131,4.067568,12
9,1000,0.822673,4.1319230000000005,0
9,1000,0.755922,4.027956,1
9,1000,0.794705,4.043982,5
9,1000,0.825154,4.026862,8
9,1000,0.824226,4.033612000000001,31
9,2500,1.734346,4.084914,0
9,2500,1.636221,4.047251999999999,1
9,2500,1.628588,4.0283809999999995,5
9,2500,1.7608709999999999,4.0309669999999995,10
9,2500,1.6759130000000002,4.026899,26
9,5000,3.0427020000000002,4.080851999999999,0
9,5000,3.051657,4.0442800000000005,1
9,5000,3.080351,4.046591,5
9,5000,3.289472,4.010955,10
9,5000,3.1307720000000003,4.049043,17
10,500,0.540632,4.04031,0
10,500,0.491875,4.094085,1
10,500,0.503384,4.068223000000001,5
10,500,0.49329399999999995,4.047872,10
10,500,0.547086,4.015907,12
10,1000,0.846608,4.0494449999999995,0
10,1000,0.7806649999999999,4.042144,1
10,1000,0.78685,4.026055,5
10,1000,0.856419,4.0349379999999995,10
10,1000,0.8461930000000001,4.010199,19
10,2500,1.7419360000000002,4.088545,0
10,2500,1.628315,4.042783999999999,1
10,2500,1.664469,4.010776,5
10,2500,1.767189,3.9981379999999995,10
10,2500,1.715739,4.0211559999999995,15
10,5000,3.0717849999999998,4.059564,0
10,5000,3.069366,4.0305919999999995,1
10,5000,3.08167,4.012341999999999,5
10,5000,3.316126,4.021446,10
10,5000,3.139612,4.02064,19
11,500,0.556994,4.065752,0
11,500,0.509315,4.089398,1
11,500,0.549833,4.0519419999999995,5
11,500,0.517436,4.024042,10
11,500,0.5672159999999999,4.062682,10
11,1000,0.840039,4.061833999999999,0
11,1000,0.8116949999999999,4.064116,1
11,1000,0.831391,4.028402,5
11,1000,0.87954,4.010173,10
11,1000,0.810808,4.021406,13
11,2500,1.775334,4.041094999999999,0
11,2500,1.669404,4.049003,1
11,2500,1.681289,4.017294000000001,5
11,2500,1.7992599999999999,4.002998000000001,10
11,2500,1.7540220000000002,4.051007,30
11,5000,3.081717,4.129023999999999,0
11,5000,3.099051,4.024979,1
11,5000,3.110735,4.011821,5
11,5000,3.3589910000000005,3.995347,10
11,5000,3.1917259999999996,4.012556,15
12,500,0.5821069999999999,4.051704,0
12,500,0.537431,4.040513,1
12,500,0.5389390000000001,4.011761,5
12,500,0.528096,4.031676,10
12,500,0.585333,4.015105,21
12,1000,0.8780479999999999,4.04817,0
12,1000,0.832032,4.0087410000000006,1
12,1000,0.813843,4.018144,5
12,1000,0.887956,4.037667,10
12,1000,0.86629,4.016118,22
12,2500,1.784948,4.042927,0
12,2500,1.677775,4.007249,1
12,2500,1.71593,3.984496,5
12,2500,1.81395,3.9916989999999997,10
12,2500,1.733452,4.003003,17
12,5000,3.0864279999999997,4.025698,0
12,5000,3.072654,4.018875,1
12,5000,3.140776,3.980957,5
12,5000,3.3502739999999998,3.978967,10
12,5000,3.27145,3.997931,23
13,500,0.609499,4.021041,0
13,500,0.542389,4.058516,1
13,500,0.5499310000000001,3.999246,5
